ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
SS.SHF,20221122,16680.0,16515.0,16620.0,16995.0,16585.0,16840.0,16805.0,325.0,290.0,98558.0,828357.61,34817.0,
SS.SHF,20221121,16505.0,16430.0,16500.0,16685.0,16340.0,16680.0,16515.0,250.0,85.0,114400.0,944804.72,41290.0,
SS.SHF,20221118,16580.0,16630.0,16610.0,16610.0,16320.0,16505.0,16430.0,-125.0,-200.0,117900.0,968779.88,44661.0,
SS.SHF,20221117,17055.0,16995.0,16900.0,16985.0,16330.0,16580.0,16630.0,-415.0,-365.0,167669.0,1394179.25,46951.0,
SS.SHF,20221116,16870.0,16650.0,16820.0,17115.0,16820.0,17055.0,16995.0,405.0,345.0,148224.0,1259750.72,50032.0,
SS.SHF,20221115,16515.0,16815.0,16750.0,16890.0,16510.0,16870.0,16650.0,55.0,-165.0,128998.0,1074220.55,48955.0,
SS.SHF,20221114,17055.0,16945.0,17020.0,17140.0,16450.0,16515.0,16815.0,-430.0,-130.0,158617.0,1333726.88,54005.0,
SS.SHF,20221111,16580.0,16510.0,16535.0,17290.0,16520.0,17055.0,16945.0,545.0,435.0,202047.0,1712042.68,64371.0,
SS.SHF,20221110,16455.0,16495.0,16500.0,16640.0,16380.0,16580.0,16510.0,85.0,15.0,130927.0,1081039.96,56917.0,
SS.SHF,20221109,16490.0,16425.0,16535.0,16605.0,16350.0,16455.0,16495.0,30.0,70.0,107892.0,890007.67,56013.0,
SS.SHF,20221108,16465.0,16705.0,16400.0,16575.0,16265.0,16490.0,16425.0,-215.0,-280.0,142093.0,1167246.9,58512.0,
SS.SHF,20221107,16760.0,16690.0,16850.0,16945.0,16420.0,16465.0,16705.0,-225.0,15.0,145850.0,1218359.35,59940.0,
SS.SHF,20221104,16595.0,16625.0,16550.0,16835.0,16455.0,16760.0,16690.0,135.0,65.0,128029.0,1068413.21,60728.0,
SS.SHF,20221103,16660.0,16780.0,16705.0,16745.0,16520.0,16595.0,16625.0,-185.0,-155.0,112256.0,933341.73,61440.0,
SS.SHF,20221102,16725.0,16605.0,16750.0,16960.0,16575.0,16660.0,16780.0,55.0,175.0,122655.0,1029102.2,64064.0,
SS.SHF,20221101,16555.0,16675.0,16555.0,16780.0,16410.0,16725.0,16605.0,50.0,-70.0,130840.0,1086604.8,67187.0,
SS.SHF,20221031,16800.0,16925.0,16900.0,16900.0,16495.0,16555.0,16675.0,-370.0,-250.0,135075.0,1126475.7,74553.0,
SS.SHF,20221028,17170.0,17300.0,17240.0,17240.0,16640.0,16800.0,16925.0,-500.0,-375.0,191498.0,1620994.33,76435.0,
SS.SHF,20221027,17580.0,17325.0,17350.0,17450.0,17110.0,17170.0,17300.0,-155.0,-25.0,123639.0,1069645.8,87370.0,
SS.SHF,20221026,17755.0,17640.0,17695.0,17755.0,17470.0,17580.0,17620.0,-60.0,-20.0,87546.0,771333.41,28424.0,
SS.SHF,20221025,17485.0,17530.0,17485.0,17825.0,17460.0,17755.0,17640.0,225.0,110.0,99879.0,880970.3,40547.0,
SS.SHF,20221024,17475.0,17675.0,17550.0,17750.0,17370.0,17485.0,17530.0,-190.0,-145.0,149335.0,1309046.86,45046.0,
SS.SHF,20221021,17705.0,17585.0,17730.0,17880.0,17420.0,17475.0,17675.0,-110.0,90.0,137988.0,1219794.87,53916.0,
SS.SHF,20221020,17400.0,17310.0,17395.0,17790.0,17395.0,17705.0,17585.0,395.0,275.0,135804.0,1194119.64,62382.0,
SS.SHF,20221019,17180.0,17150.0,17180.0,17485.0,17160.0,17400.0,17310.0,250.0,160.0,112215.0,971301.91,62892.0,
SS.SHF,20221018,17200.0,17115.0,17200.0,17255.0,17065.0,17180.0,17150.0,65.0,35.0,89652.0,768886.84,63137.0,
SS.SHF,20221017,17175.0,16900.0,16970.0,17290.0,16970.0,17200.0,17115.0,300.0,215.0,113652.0,972667.42,67141.0,
SS.SHF,20221014,16380.0,16405.0,16360.0,17335.0,16300.0,17175.0,16900.0,770.0,495.0,178956.0,1512554.99,72908.0,
SS.SHF,20221013,16360.0,16320.0,16300.0,16515.0,16260.0,16380.0,16405.0,60.0,85.0,70195.0,575901.99,58503.0,
SS.SHF,20221012,16330.0,16400.0,16345.0,16460.0,16215.0,16360.0,16320.0,-40.0,-80.0,70686.0,576964.32,61319.0,
SS.SHF,20221011,16470.0,16500.0,16440.0,16595.0,16255.0,16330.0,16400.0,-170.0,-100.0,73865.0,605710.05,62008.0,
SS.SHF,20221010,16750.0,16700.0,16800.0,16900.0,16270.0,16470.0,16500.0,-230.0,-200.0,80599.0,665112.2,64717.0,
SS.SHF,20220930,16570.0,16560.0,16660.0,16860.0,16540.0,16750.0,16700.0,190.0,140.0,95593.0,798350.28,66182.0,
SS.SHF,20220929,16465.0,16500.0,16480.0,16680.0,16470.0,16570.0,16560.0,70.0,60.0,87563.0,725220.65,67545.0,
SS.SHF,20220928,16595.0,16520.0,16520.0,16695.0,16325.0,16465.0,16500.0,-55.0,-20.0,121687.0,1004117.81,70631.0,
SS.SHF,20220927,16705.0,16490.0,16400.0,16680.0,16395.0,16595.0,16520.0,105.0,30.0,106437.0,879407.57,75816.0,
SS.SHF,20220926,16925.0,17045.0,16750.0,16855.0,16580.0,16705.0,16730.0,-340.0,-315.0,99293.0,830662.82,18989.0,
SS.SHF,20220923,17225.0,17175.0,17205.0,17265.0,16845.0,16925.0,17045.0,-250.0,-130.0,113181.0,964814.11,30503.0,
SS.SHF,20220922,17290.0,17165.0,17195.0,17355.0,16970.0,17225.0,17175.0,60.0,10.0,152017.0,1305465.89,44278.0,
SS.SHF,20220921,17030.0,17045.0,17050.0,17375.0,17050.0,17290.0,17165.0,245.0,120.0,140373.0,1205080.76,57369.0,
SS.SHF,20220920,16855.0,17075.0,16880.0,17270.0,16880.0,17030.0,17045.0,-45.0,-30.0,126980.0,1082298.37,57355.0,
SS.SHF,20220919,16845.0,16865.0,16930.0,17335.0,16805.0,16855.0,17075.0,-10.0,210.0,154389.0,1318159.71,57805.0,
SS.SHF,20220916,17090.0,17165.0,16980.0,16985.0,16745.0,16845.0,16865.0,-320.0,-300.0,106943.0,901810.1,61542.0,
SS.SHF,20220915,17065.0,17120.0,17020.0,17345.0,16980.0,17090.0,17165.0,-30.0,45.0,128231.0,1100659.42,69028.0,
SS.SHF,20220914,17480.0,17370.0,17360.0,17430.0,16870.0,17065.0,17120.0,-305.0,-250.0,152297.0,1303809.39,68363.0,
SS.SHF,20220913,17005.0,16820.0,17195.0,17670.0,17120.0,17480.0,17370.0,660.0,550.0,120192.0,1043971.87,74468.0,
SS.SHF,20220909,16505.0,16510.0,16420.0,17060.0,16420.0,17005.0,16820.0,495.0,310.0,138510.0,1165147.71,79034.0,
SS.SHF,20220908,16320.0,16270.0,16320.0,16725.0,16320.0,16505.0,16510.0,235.0,240.0,120537.0,995200.58,77327.0,
SS.SHF,20220907,16375.0,16195.0,16350.0,16510.0,16080.0,16320.0,16270.0,125.0,75.0,122494.0,996683.68,75226.0,
SS.SHF,20220906,15840.0,15715.0,15840.0,16425.0,15840.0,16375.0,16195.0,660.0,480.0,118907.0,962968.73,77372.0,
SS.SHF,20220905,15645.0,15530.0,15620.0,15880.0,15545.0,15840.0,15715.0,310.0,185.0,102239.0,803547.8,68292.0,
SS.SHF,20220902,15385.0,15410.0,15385.0,15710.0,15285.0,15645.0,15530.0,235.0,120.0,121861.0,946267.63,68165.0,
SS.SHF,20220901,15610.0,15440.0,15500.0,15565.0,15280.0,15385.0,15410.0,-55.0,-30.0,91792.0,707478.59,56269.0,
SS.SHF,20220831,15190.0,15275.0,15200.0,15665.0,15170.0,15610.0,15440.0,335.0,165.0,128373.0,991240.71,68350.0,
SS.SHF,20220830,15340.0,15390.0,15340.0,15415.0,15160.0,15190.0,15275.0,-200.0,-115.0,80114.0,611871.2,57004.0,
SS.SHF,20220829,15455.0,15315.0,15480.0,15540.0,15220.0,15340.0,15390.0,25.0,75.0,111756.0,860136.89,63139.0,
SS.SHF,20220826,15590.0,15200.0,15265.0,15470.0,15165.0,15455.0,15315.0,255.0,115.0,94477.0,723576.76,66126.0,
SS.SHF,20220825,15465.0,15420.0,15465.0,15700.0,15395.0,15590.0,15525.0,170.0,105.0,45107.0,350206.4,16111.0,
SS.SHF,20220824,15425.0,15365.0,15420.0,15545.0,15290.0,15465.0,15420.0,100.0,55.0,68239.0,526133.16,24506.0,
SS.SHF,20220823,15315.0,15285.0,15300.0,15495.0,15225.0,15425.0,15365.0,140.0,80.0,66426.0,510370.43,35903.0,
